snippet_id,status,parse_mode,recommendation_group,accepted_study_rows,identical_before_after,before_code_lines,before_findings,before_findings_per_100_lines,after_code_lines,after_findings,after_findings_per_100_lines,delta_findings,delta_findings_per_100_lines,outcome
so_62722315_block_2,PARSE_EXCLUDED,,Improving Code,4,NO,252,0,0.0,292,0,0.0,0,0.0,UNCHANGED
so_64804977_block_4,ANALYZED,METHOD_BODY,Bug Fixing,2,NO,13,0,0.0,18,17,94.44444444444444,17,94.44444444444444,WORSENED
so_64938483_block_2,PARSE_EXCLUDED,,Improving Code,7,NO,100,0,0.0,62,0,0.0,0,0.0,UNCHANGED
so_65112087_block_2,PARSE_EXCLUDED,,Improving Code,4,NO,12,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_6788456_block_2,ANALYZED,RAW,Improving Code,2,NO,14,13,92.85714285714286,7,0,0.0,-13,-92.85714285714286,IMPROVED
so_7649183_block_2,ANALYZED,CLASS_MEMBER,Improving Code,1,NO,9,9,100.0,14,0,0.0,-9,-100.0,IMPROVED
so_7901334_block_2,PARSE_EXCLUDED,,Bug Fixing,1,NO,82,0,0.0,115,0,0.0,0,0.0,UNCHANGED
so_9109728_block_6,PARSE_EXCLUDED,,Improving Code,1,NO,5,0,0.0,62,0,0.0,0,0.0,UNCHANGED
so_9293885_block_2,ANALYZED,RAW,MULTIPLE_TYPES,15,NO,11,11,100.0,17,0,0.0,-11,-100.0,IMPROVED
so_9709606_block_2,PARSE_EXCLUDED,,Improving Code,5,NO,16,0,0.0,19,0,0.0,0,0.0,UNCHANGED
